scenario,scenario_name,run_id,seed,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,throughput,mean_finality_latency,mean_receipt_latency,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability
Q7,Hot-shard Qtum workload,32,9225,392,392,388,367,1101,5505,0,2,1172,16,0,98.9796,93.6224,2.8087,18.4292,23.9392,23.9796,152.9932,153.1228,0.0648,32.0654,28.0011,39.8365,1,0.0
Q7,Hot-shard Qtum workload,33,9226,419,419,414,396,1188,5940,0,2,1252,16,0,98.8067,94.5107,2.8353,18.4053,23.9774,24.105,166.3126,166.7603,0.2238,27.7172,25.0795,36.9697,1,0.0
Q7,Hot-shard Qtum workload,34,9227,423,423,415,384,1152,5760,0,2,1261,16,0,98.1087,90.7801,2.7234,18.5321,23.9287,26.2411,162.3157,162.1223,0.0967,33.25,28.3906,36.875,1,0.0
Q7,Hot-shard Qtum workload,35,9228,353,353,349,327,981,4905,0,2,1055,16,0,98.8669,92.6346,2.779,18.3088,23.725,22.9462,146.2346,146.2368,0.0011,33.9817,28.9817,44.9541,1,0.0
Q7,Hot-shard Qtum workload,36,9229,398,398,392,375,1125,5625,0,2,1188,16,0,98.4925,94.2211,2.8266,18.374,23.8578,23.1156,162.3054,162.3516,0.0231,32.4533,23.3531,37.44,1,0.0
Q7,Hot-shard Qtum workload,37,9230,367,367,362,348,1044,5220,0,2,1096,16,0,98.6376,94.8229,2.8447,18.1873,23.724,20.9809,146.0073,145.7141,0.1466,32.046,28.0005,39.8851,1,0.0
Q7,Hot-shard Qtum workload,38,9231,306,306,301,278,834,4170,0,2,913,16,0,98.366,90.8497,2.7255,18.6758,24.2251,27.1242,122.208,122.5983,0.1951,29.8561,22.4111,34.1007,1,0.0
Q7,Hot-shard Qtum workload,39,9232,425,425,413,386,1158,5790,0,2,1263,16,0,97.1765,90.8235,2.7247,18.2421,23.6884,21.8824,155.3905,155.8233,0.2164,29.6891,22.3691,33.886,1,0.0
Q7,Hot-shard Qtum workload,40,9233,384,384,379,350,1050,5250,0,2,1147,16,0,98.6979,91.1458,2.7344,18.302,23.7256,21.6146,162.1551,161.9487,0.1032,43.4743,40.1886,60.0,1,0.0
Q7,Hot-shard Qtum workload,41,9234,413,413,405,374,1122,5610,0,2,1231,16,0,98.063,90.5569,2.7167,18.3968,23.828,23.7288,171.2564,171.1628,0.0468,41.1979,40.0224,60.0,1,0.0
Q7,Hot-shard Qtum workload,42,9235,402,402,396,377,1131,5655,0,2,1200,16,0,98.5075,93.7811,2.8134,18.1066,23.6008,20.6468,159.2738,159.2563,0.0088,29.9469,22.4348,34.2175,1,0.0
Q7,Hot-shard Qtum workload,43,9236,428,428,420,391,1173,5865,0,2,1276,16,0,98.1308,91.3551,2.7407,18.345,23.9345,21.729,172.9382,173.2896,0.1757,26.8235,24.6228,35.2941,1,0.0
Q7,Hot-shard Qtum workload,44,9237,302,302,298,283,849,4245,0,2,902,16,0,98.6755,93.7086,2.8113,18.3378,23.9672,23.8411,142.7108,143.3619,0.3255,32.424,28.0449,41.0601,1,0.0
Q7,Hot-shard Qtum workload,45,9238,422,422,412,379,1137,5685,0,2,1256,16,0,97.6303,89.8104,2.6943,18.3106,23.7391,23.2227,163.465,164.0646,0.2998,24.0422,24.0001,30.0792,2,0.0
Q7,Hot-shard Qtum workload,46,9239,349,349,340,319,957,4785,0,2,1038,16,0,97.4212,91.404,2.7421,18.1038,23.6302,19.4842,151.4929,151.6263,0.0667,32.884,23.562,37.9937,1,0.0
Q7,Hot-shard Qtum workload,47,9240,421,421,413,396,1188,5940,0,2,1255,16,0,98.0998,94.0618,2.8219,18.1336,23.6587,20.4276,177.5499,177.6888,0.0695,30.6734,22.6487,35.1515,1,0.0
